Provider/Agency,Hosting Org,Street Address,City,State,Postal Code,"Location (Lat, Long)",Latitude,Longitude,NTA Code,NTA Name,Council Distrcit,Offer Wifi,Original Dataset,Add'l Info
LinkNYC - Citybridge,Unknown,35-12 35 AVENUE,Queens,New York,11106,"(40.7565208602, -73.9252146106)",40.75652086,-73.92521461,QN70,Astoria,26,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,210 West 90st,New York,New York,10024,"(40.7906900002, -73.9744619998)",40.79069,-73.974462,MN12,Upper West Side,6,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,155 East 38Th Street,New York,New York,10016,"(40.7483832896, -73.9763442995)",40.74838329,-73.9763443,MN20,Murray Hill-Kips Bay,4,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,166-01 JAMAICA AVENUE,Queens,New York,11432,"(40.7059714299, -73.7937866001)",40.70597143,-73.7937866,QN61,Jamaica,27,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,81 LEXINGTON AVENUE,New York,New York,10016,"(40.7414809996, -73.9831980002)",40.741481,-73.983198,MN21,Gramercy,2,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
SPECTRUM,Unknown,Library,New York,New York,10039,"(40.8241309998, -73.9424640006)",40.824131,-73.942464,MN04,Hamilton Heights,9,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
LinkNYC - Citybridge,Unknown,2518 BROADWAY,New York,New York,10025,"(40.7931808696, -73.9726485797)",40.79318087,-73.97264858,MN12,Upper West Side,6,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
SPECTRUM,Unknown,North West side of Park,Queens,New York,11419,"(40.6950769996, -73.8228169995)",40.695077,-73.822817,QN54,Richmond Hill,28,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
LinkNYC - Citybridge,Unknown,601 8 Avenue,New York,New York,10018,"(40.7554999999, -73.9914250005)",40.7555,-73.991425,MN15,Clinton,3,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
Harlem,Unknown,pole 76 - 7ASEC133,New York,New York,10027,"(40.8139300002, -73.9449549995)",40.81393,-73.944955,MN03,Central Harlem North-Polo Grounds,9,Free,NYC Wifi Hotspot Locations,Harlem Wi-Fi
LinkNYC - Citybridge,Unknown,101 NORTH 5 STREET,Brooklyn,New York,11249,"(40.7176582282, -73.9603011562)",40.71765823,-73.96030116,BK73,North Side-South Side,33,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
Transit Wireless,Unknown,"Euclid Av (A,C)",Brooklyn,New York,11208,"(40.675377, -73.8721059998)",40.675377,-73.872106,BK82,East New York,42,Free,NYC Wifi Hotspot Locations,TransitWirelessWiFi
LinkNYC - Citybridge,Unknown,51 EAST 26 STREET,New York,New York,10010,"(40.7423220602, -73.9853807405)",40.74232206,-73.98538074,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,2,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
ALTICEUSA,Unknown,ROOF OF ABE STARK ICE RINK-RIGHT SIDE FRONT,Brooklyn,New York,11224,"(40.5726749996, -73.9856179998)",40.572675,-73.985618,BK21,Seagate-Coney Island,47,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
ALTICEUSA,Unknown,RESERVOIR OVAL E  2/P/S/O RESERVOIR PL,Bronx,New York,10467,"(40.8784449997, -73.8754800001)",40.878445,-73.87548,BX43,Norwood,11,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
ALTICEUSA,Unknown,ROOF OF AQUARIUM,Brooklyn,New York,11224,"(40.5735509999, -73.9773659998)",40.573551,-73.977366,BK21,Seagate-Coney Island,47,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
LinkNYC - Citybridge,Unknown,47-43 VERNON BOULEVARD,Queens,New York,11101,"(40.7443204903, -73.9534837102)",40.74432049,-73.95348371,QN31,Hunters Point-Sunnyside-West Maspeth,26,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,3386 FULTON STREET,Brooklyn,New York,11208,"(40.6840608397, -73.8705374096)",40.68406084,-73.87053741,BK83,Cypress Hills-City Line,37,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
Harlem,Unknown,pole 09: 119C5av,New York,New York,10026,"(40.8026839999, -73.9451580005)",40.802684,-73.945158,MN11,Central Harlem South,9,Free,NYC Wifi Hotspot Locations,Harlem Wi-Fi
LinkNYC - Citybridge,Unknown,3559 BROADWAY,New York,New York,10031,"(40.8270435498, -73.9502261503)",40.82704355,-73.95022615,MN04,Hamilton Heights,7,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
QPL,Unknown,92-24 ROCKAWAY BOULEVARD,Ozone Park,New York,11417,"(40.6808618482, -73.8464887284)",40.68086185,-73.84648873,QN56,Ozone Park,32,Free,NYC Wifi Hotspot Locations,QBPL_WIRELESS
SPECTRUM,Unknown,Admin Office,New York,New York,10039,"(40.8241309998, -73.9424640006)",40.824131,-73.942464,MN04,Hamilton Heights,9,Limited Free,NYC Wifi Hotspot Locations,GuestWiFi
QPL,Unknown,25-01 JACKSON AVENUE,Long Island City,New York,11101,"(40.7470624208, -73.9442436779)",40.74706242,-73.94424368,QN31,Hunters Point-Sunnyside-West Maspeth,26,Free,NYC Wifi Hotspot Locations,QBPL_WIRELESS
LinkNYC - Citybridge,Unknown,59-40 QUEENS BOULEVARD,Queens,New York,11377,"(40.7412880001, -73.9046559997)",40.741288,-73.904656,QN63,Woodside,26,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,1284 1 AVENUE,New York,New York,10065,"(40.7656654522, -73.9574087323)",40.76566545,-73.95740873,MN31,Lenox Hill-Roosevelt Island,5,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
Transit Wireless,Unknown,18th Street - 7th Avenue,New York,New York,10011,"(40.7410399998, -73.9978709994)",40.74104,-73.997871,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3,Free,NYC Wifi Hotspot Locations,TransitWirelessWiFi
Transit Wireless,Unknown,149 St - Grand Concourse,Bronx,New York,10451,"(40.81841, -73.9267179996)",40.81841,-73.926718,BX39,Mott Haven-Port Morris,17,Free,NYC Wifi Hotspot Locations,TransitWirelessWiFi
Harlem,Unknown,42 West 120th Street_THAL (new),New York,New York,10027,"(40.8037859998, -73.9461589995)",40.803786,-73.946159,MN11,Central Harlem South,9,Free,NYC Wifi Hotspot Locations,Harlem Wi-Fi
LinkNYC - Citybridge,Unknown,2002 AMSTERDAM AVE,New York,New York,10032,"(40.8342453801, -73.9411590502)",40.83424538,-73.94115905,MN36,Washington Heights South,7,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,916 7 AVENUE,New York,New York,10019,"(40.7661480002, -73.9797210006)",40.766148,-73.979721,MN17,Midtown-Midtown South,4,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,36 NEVINS STREET,Brooklyn,New York,11217,"(40.6874572699, -73.9819201796)",40.68745727,-73.98192018,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,33,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
LinkNYC - Citybridge,Unknown,100 E Fordham Rd,Bronx,New York,10468,"(40.8620857697, -73.8995205706)",40.86208577,-73.89952057,BX40,Fordham South,14,Free,NYC Wifi Hotspot Locations,LinkNYC Free Wi-Fi
Transit Wireless,Unknown,East 143 St-St Mary's St (6),Bronx,New York,10454,"(40.808719, -73.9076570006)",40.808719,-73.907657,BX39,Mott Haven-Port Morris,8,Free,NYC Wifi Hotspot Locations,TransitWirelessWiFi
